iter	Passed	Remaining
0	1	137
1	2	124
2	3	116
3	4	108
4	5	107
5	6	105
6	7	101
7	8	99
8	12	128
9	13	125
10	15	125
11	16	121
12	17	117
13	19	122
14	21	122
15	22	119
16	24	118
17	25	115
18	26	112
19	27	109
20	28	107
21	29	104
22	30	102
23	31	99
24	32	97
25	33	96
26	34	94
27	35	92
28	36	90
29	38	88
30	39	87
31	40	85
32	41	83
33	42	82
34	43	80
35	44	79
36	45	78
37	46	76
38	48	75
39	49	73
40	50	72
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	55	63
47	57	61
48	58	60
49	59	59
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	72	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	89	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
